Time,Fz,Mx,My,CoPx,CoPy
0.000000,965.427159,32.988140,9.535604,-0.009877,0.034169
0.001000,965.330509,32.967770,9.512954,-0.009855,0.034152
0.002000,965.138639,32.927510,9.512664,-0.009856,0.034117
0.003000,965.138639,32.927510,9.512664,-0.009856,0.034117
0.004000,965.230859,32.908140,9.534244,-0.009878,0.034094
0.005000,965.227079,32.868180,9.489834,-0.009832,0.034052
0.006000,965.035209,32.827920,9.489544,-0.009833,0.034017
0.007000,964.939989,32.808030,9.511904,-0.009858,0.034000
0.008000,964.939989,32.808030,9.511904,-0.009858,0.034000
0.009000,964.847769,32.827400,9.490324,-0.009836,0.034023
0.010000,964.847769,32.827400,9.490324,-0.009836,0.034023
0.011000,964.847769,32.827400,9.490324,-0.009836,0.034023
0.012000,965.032859,32.788440,9.490144,-0.009834,0.033977
0.013000,964.936209,32.768070,9.467494,-0.009812,0.033959
0.014000,964.839559,32.747700,9.444844,-0.009789,0.033941
0.015000,964.651469,32.747400,9.488964,-0.009837,0.033947
0.016000,964.651469,32.747400,9.488964,-0.009837,0.033947
0.017000,964.743689,32.728030,9.510544,-0.009858,0.033924
0.018000,964.647689,32.707440,9.444554,-0.009791,0.033906
0.019000,964.645339,32.667960,9.445154,-0.009791,0.033865
0.020000,964.644689,32.668180,9.488494,-0.009836,0.033866
0.021000,964.642339,32.628700,9.489094,-0.009837,0.033825
0.022000,964.640909,32.628220,9.444084,-0.009790,0.033824
0.023000,964.545689,32.608330,9.466444,-0.009814,0.033807
0.024000,964.730779,32.569370,9.466264,-0.009812,0.033760
0.025000,964.542689,32.569070,9.510384,-0.009860,0.033766
0.026000,964.538909,32.529110,9.465974,-0.009814,0.033725
0.027000,964.538909,32.529110,9.465974,-0.009814,0.033725
0.028000,964.819219,32.510040,9.443434,-0.009788,0.033695
0.029000,964.912869,32.491150,9.510024,-0.009856,0.033673
0.030000,964.820649,32.510520,9.488444,-0.009834,0.033696
0.031000,965.005739,32.471560,9.488264,-0.009832,0.033649
0.032000,964.816219,32.470780,9.487374,-0.009833,0.033655
0.033000,964.816869,32.470560,9.444034,-0.009788,0.033655
0.034000,964.816869,32.470560,9.444034,-0.009788,0.033655
0.035000,964.909089,32.451190,9.465614,-0.009810,0.033631
0.036000,964.812439,32.430820,9.442964,-0.009787,0.033614
0.037000,964.904659,32.411450,9.464544,-0.009809,0.033590
0.038000,965.001959,32.431600,9.443854,-0.009786,0.033608
0.039000,965.094829,32.412010,9.422094,-0.009763,0.033584
0.040000,965.378919,32.432900,9.443964,-0.009783,0.033596
0.041000,965.187049,32.392640,9.443674,-0.009784,0.033561
0.042000,964.997529,32.391860,9.442784,-0.009785,0.033567
0.043000,965.090399,32.372270,9.421024,-0.009762,0.033543
0.044000,965.187049,32.392640,9.443674,-0.009784,0.033561
0.045000,965.191479,32.432380,9.444744,-0.009785,0.033602
0.046000,965.471789,32.413310,9.422204,-0.009759,0.033573
0.047000,965.564009,32.393940,9.443784,-0.009781,0.033549
0.048000,965.376569,32.393420,9.444564,-0.009783,0.033555
0.049000,965.468789,32.374050,9.466144,-0.009805,0.033532
0.050000,965.471789,32.413310,9.422204,-0.009759,0.033573
0.051000,965.661309,32.414090,9.423094,-0.009758,0.033567
0.052000,965.568439,32.433680,9.444854,-0.009782,0.033590
0.053000,965.660659,32.414310,9.466434,-0.009803,0.033567
0.054000,965.848749,32.414610,9.422314,-0.009755,0.033561
0.055000,965.852529,32.454570,9.466724,-0.009801,0.033602
0.056000,965.852529,32.454570,9.466724,-0.009801,0.033602
0.057000,965.852529,32.454570,9.466724,-0.009801,0.033602
0.058000,965.760309,32.473940,9.445144,-0.009780,0.033625
0.059000,965.855529,32.493830,9.422784,-0.009756,0.033643
0.060000,965.760309,32.473940,9.445144,-0.009780,0.033625
0.061000,965.767089,32.553160,9.445614,-0.009780,0.033707
0.062000,965.767089,32.553160,9.445614,-0.009780,0.033707
0.063000,965.954529,32.553680,9.444834,-0.009778,0.033701
0.064000,966.051179,32.574050,9.467484,-0.009800,0.033719
0.065000,965.958959,32.593420,9.445904,-0.009779,0.033742
0.066000,966.054179,32.613310,9.423544,-0.009755,0.033759
0.067000,965.869089,32.652270,9.423724,-0.009757,0.033806
0.068000,965.965739,32.672640,9.446374,-0.009779,0.033824
0.069000,965.965739,32.672640,9.446374,-0.009779,0.033824
0.070000,966.062389,32.693010,9.469024,-0.009802,0.033842
0.071000,966.066819,32.732750,9.470094,-0.009803,0.033882
0.072000,966.254259,32.733270,9.469314,-0.009800,0.033876
0.073000,966.162039,32.752640,9.447734,-0.009779,0.033900
0.074000,966.167389,32.831380,9.403194,-0.009732,0.033981
0.075000,966.074519,32.850970,9.424954,-0.009756,0.034005
0.076000,966.359259,32.871640,9.403484,-0.009731,0.034016
0.077000,966.455259,32.892230,9.469474,-0.009798,0.034034
0.078000,966.649209,32.932750,9.471434,-0.009798,0.034069
0.079000,966.744429,32.952640,9.449074,-0.009774,0.034086
0.080000,966.654559,33.011490,9.426894,-0.009752,0.034150
0.081000,966.654559,33.011490,9.426894,-0.009752,0.034150
0.082000,966.751209,33.031860,9.449544,-0.009775,0.034168
0.083000,966.661339,33.090710,9.427364,-0.009752,0.034232
0.084000,966.661339,33.090710,9.427364,-0.009752,0.034232
0.085000,966.569119,33.110080,9.405784,-0.009731,0.034255
0.086000,966.857639,33.170710,9.428724,-0.009752,0.034308
0.087000,966.952859,33.190600,9.406364,-0.009728,0.034325
0.088000,966.859989,33.210190,9.428124,-0.009751,0.034348
0.089000,966.859989,33.210190,9.428124,-0.009751,0.034348
0.090000,967.051859,33.250450,9.428414,-0.009750,0.034383
0.091000,967.056289,33.290190,9.429484,-0.009751,0.034424
0.092000,966.966419,33.349040,9.407304,-0.009729,0.034488
0.093000,967.058639,33.329670,9.428884,-0.009750,0.034465
0.094000,966.873549,33.368630,9.429064,-0.009752,0.034512
0.095000,966.973199,33.428260,9.407774,-0.009729,0.034570
0.096000,967.253509,33.409190,9.385234,-0.009703,0.034540
0.097000,967.160639,33.428780,9.406994,-0.009726,0.034564
0.098000,967.252859,33.409410,9.428574,-0.009748,0.034541
0.099000,967.160639,33.428780,9.406994,-0.009726,0.034564
0.100000,967.165069,33.468520,9.408064,-0.009727,0.034605
0.101000,967.167419,33.508000,9.407464,-0.009727,0.034646
0.102000,967.077549,33.566850,9.385284,-0.009705,0.034710
0.103000,967.266419,33.567850,9.429514,-0.009749,0.034704
0.104000,967.169769,33.547480,9.406864,-0.009726,0.034686
0.105000,967.266419,33.567850,9.429514,-0.009749,0.034704
0.106000,967.266419,33.567850,9.429514,-0.009749,0.034704
0.107000,967.265769,33.568070,9.472854,-0.009793,0.034704
0.108000,967.360989,33.587960,9.450494,-0.009769,0.034721
0.109000,967.358639,33.548480,9.451094,-0.009770,0.034680
0.110000,967.362419,33.588440,9.495504,-0.009816,0.034722
0.111000,967.170549,33.548180,9.495214,-0.009818,0.034687
0.112000,967.265769,33.568070,9.472854,-0.009793,0.034704
0.113000,967.261339,33.528330,9.471784,-0.009792,0.034663
0.114000,967.357989,33.548700,9.494434,-0.009815,0.034681
0.115000,967.354989,33.509440,9.538374,-0.009860,0.034640
0.116000,967.354989,33.509440,9.538374,-0.009860,0.034640
0.117000,967.258339,33.489070,9.515724,-0.009838,0.034623
0.118000,967.258339,33.489070,9.515724,-0.009838,0.034623
0.119000,967.258339,33.489070,9.515724,-0.009838,0.034623
0.120000,967.158689,33.429440,9.537014,-0.009861,0.034565
0.121000,967.347559,33.430440,9.581244,-0.009905,0.034559
0.122000,967.349909,33.469920,9.580644,-0.009904,0.034600
0.123000,967.346129,33.429960,9.536234,-0.009858,0.034558
0.124000,967.158039,33.429660,9.580354,-0.009906,0.034565
0.125000,967.061389,33.409290,9.557704,-0.009883,0.034547
0.126000,966.869519,33.369030,9.557414,-0.009885,0.034512
0.127000,966.869519,33.369030,9.557414,-0.009885,0.034512
0.128000,966.869519,33.369030,9.557414,-0.009885,0.034512
0.129000,966.865089,33.329290,9.556344,-0.009884,0.034472
0.130000,966.765439,33.269660,9.577634,-0.009907,0.034413
0.131000,966.765439,33.269660,9.577634,-0.009907,0.034413
0.132000,966.668789,33.249290,9.554984,-0.009884,0.034396
0.133000,966.384699,33.228400,9.533114,-0.009865,0.034384
0.134000,966.288049,33.208030,9.510464,-0.009842,0.034367
0.135000,966.190749,33.187880,9.531154,-0.009865,0.034349
0.136000,966.095529,33.167990,9.553514,-0.009889,0.034332
0.137000,966.003309,33.187360,9.531934,-0.009867,0.034355
0.138000,966.095529,33.167990,9.553514,-0.009889,0.034332
0.139000,966.000309,33.148100,9.575874,-0.009913,0.034315
0.140000,965.996529,33.108140,9.531464,-0.009867,0.034274
0.141000,965.807009,33.107360,9.530574,-0.009868,0.034279
0.142000,965.711789,33.087470,9.552934,-0.009892,0.034262
0.143000,965.522919,33.086470,9.508704,-0.009848,0.034268
0.144000,965.518489,33.046730,9.507634,-0.009847,0.034227
0.145000,965.518489,33.046730,9.507634,-0.009847,0.034227
0.146000,965.516139,33.007250,9.508234,-0.009848,0.034186
0.147000,965.423919,33.026620,9.486654,-0.009826,0.034209
0.148000,965.423919,33.026620,9.486654,-0.009826,0.034209
0.149000,965.231399,32.986580,9.529704,-0.009873,0.034175
0.150000,965.324269,32.966990,9.507944,-0.009849,0.034151
0.151000,965.324269,32.966990,9.507944,-0.009849,0.034151
0.152000,965.234399,33.025840,9.485764,-0.009827,0.034215
0.153000,965.134749,32.966210,9.507054,-0.009850,0.034157
0.154000,965.137749,33.005470,9.463114,-0.009805,0.034198
0.155000,965.135399,32.965990,9.463714,-0.009806,0.034157
0.156000,965.227619,32.946620,9.485294,-0.009827,0.034134
0.157000,965.135399,32.965990,9.463714,-0.009806,0.034157
0.158000,965.040179,32.946100,9.486074,-0.009830,0.034140
0.159000,964.943529,32.925730,9.463424,-0.009807,0.034122
0.160000,965.038749,32.945620,9.441064,-0.009783,0.034139
0.161000,965.039399,32.945400,9.397724,-0.009738,0.034139
0.162000,964.944179,32.925510,9.420084,-0.009762,0.034122
0.163000,965.131619,32.926030,9.419304,-0.009760,0.034116
0.164000,965.036399,32.906140,9.441664,-0.009784,0.034098
0.165000,965.036399,32.906140,9.441664,-0.009784,0.034098
0.166000,964.847529,32.905140,9.397434,-0.009740,0.034104
0.167000,964.847529,32.905140,9.397434,-0.009740,0.034104
0.168000,964.847529,32.905140,9.397434,-0.009740,0.034104
0.169000,964.940399,32.885550,9.375674,-0.009716,0.034080
0.170000,964.940399,32.885550,9.375674,-0.009716,0.034080
0.171000,964.940399,32.885550,9.375674,-0.009716,0.034080
0.172000,965.033269,32.865960,9.353914,-0.009693,0.034057
0.173000,965.033269,32.865960,9.353914,-0.009693,0.034057
0.174000,965.037699,32.905700,9.354984,-0.009694,0.034098
0.175000,964.938699,32.845850,9.332934,-0.009672,0.034039
0.176000,964.941049,32.885330,9.332334,-0.009671,0.034080
0.177000,965.033919,32.865740,9.310574,-0.009648,0.034057
0.178000,965.033919,32.865740,9.310574,-0.009648,0.034057
0.179000,965.318659,32.886410,9.289104,-0.009623,0.034068
0.180000,965.410879,32.867040,9.310684,-0.009644,0.034045
0.181000,965.411529,32.866820,9.267344,-0.009599,0.034044
0.182000,965.503749,32.847450,9.288924,-0.009621,0.034021
0.183000,965.601049,32.867600,9.268234,-0.009598,0.034038
0.184000,965.504399,32.847230,9.245584,-0.009576,0.034021
0.185000,965.415959,32.906560,9.268414,-0.009600,0.034085
0.186000,965.696269,32.887490,9.245874,-0.009574,0.034056
0.187000,965.789139,32.867900,9.224114,-0.009551,0.034032
0.188000,965.789139,32.867900,9.224114,-0.009551,0.034032
0.189000,965.696919,32.887270,9.202534,-0.009529,0.034055
0.190000,965.701349,32.927010,9.203604,-0.009530,0.034096
0.191000,965.796569,32.946900,9.181244,-0.009506,0.034114
0.192000,965.701349,32.927010,9.203604,-0.009530,0.034096
0.193000,965.800999,32.986640,9.182314,-0.009507,0.034155
0.194000,965.796569,32.946900,9.181244,-0.009506,0.034114
0.195000,965.890869,32.927790,9.204494,-0.009530,0.034091
0.196000,965.986089,32.947680,9.182134,-0.009505,0.034108
0.197000,966.082739,32.968050,9.204784,-0.009528,0.034125
0.198000,966.177959,32.987940,9.182424,-0.009504,0.034143
0.199000,966.270829,32.968350,9.160664,-0.009480,0.034119
0.200000,966.085739,33.007310,9.160844,-0.009482,0.034166
0.201000,966.089519,33.047270,9.205254,-0.009528,0.034207
0.202000,966.182389,33.027680,9.183494,-0.009505,0.034184
0.203000,966.182389,33.027680,9.183494,-0.009505,0.034184
0.204000,966.089519,33.047270,9.205254,-0.009528,0.034207
0.205000,966.186169,33.067640,9.227904,-0.009551,0.034225
