Time,Fz,Mx,My,CoPx,CoPy
0.000000,874.599599,17.271816,1.934200,-0.002212,0.019748
0.001000,874.595169,17.232076,1.933130,-0.002210,0.019703
0.002000,874.502949,17.251446,1.911550,-0.002186,0.019727
0.003000,874.502299,17.251666,1.954890,-0.002235,0.019727
0.004000,874.498519,17.211706,1.910480,-0.002185,0.019682
0.005000,874.683609,17.172746,1.910300,-0.002184,0.019633
0.006000,874.683609,17.172746,1.910300,-0.002184,0.019633
0.007000,874.778829,17.192636,1.887940,-0.002158,0.019654
0.008000,874.679179,17.133006,1.909230,-0.002183,0.019588
0.009000,874.679179,17.133006,1.909230,-0.002183,0.019588
0.010000,874.586959,17.152376,1.887650,-0.002158,0.019612
0.011000,874.490309,17.132006,1.865000,-0.002133,0.019591
0.012000,874.490309,17.132006,1.865000,-0.002133,0.019591
0.013000,874.487309,17.092746,1.908940,-0.002183,0.019546
0.014000,874.675399,17.093046,1.864820,-0.002132,0.019542
0.015000,874.674749,17.093266,1.908160,-0.002182,0.019542
0.016000,874.675399,17.093046,1.864820,-0.002132,0.019542
0.017000,874.578749,17.072676,1.842170,-0.002106,0.019521
0.018000,874.386229,17.032636,1.885220,-0.002156,0.019480
0.019000,874.294009,17.052006,1.863640,-0.002132,0.019504
0.020000,874.294009,17.052006,1.863640,-0.002132,0.019504
0.021000,874.198789,17.032116,1.886000,-0.002157,0.019483
0.022000,874.383879,16.993156,1.885820,-0.002157,0.019434
0.023000,874.476749,16.973566,1.864060,-0.002132,0.019410
0.024000,874.383879,16.993156,1.885820,-0.002157,0.019434
0.025000,874.571319,16.993676,1.885040,-0.002155,0.019431
0.026000,874.287229,16.972786,1.863170,-0.002131,0.019413
0.027000,874.287229,16.972786,1.863170,-0.002131,0.019413
0.028000,874.096009,16.932306,1.819540,-0.002082,0.019371
0.029000,874.000789,16.912416,1.841900,-0.002107,0.019351
0.030000,874.095359,16.932526,1.862880,-0.002131,0.019371
0.031000,874.095359,16.932526,1.862880,-0.002131,0.019371
0.032000,874.188229,16.912936,1.841120,-0.002106,0.019347
0.033000,874.281099,16.893346,1.819360,-0.002081,0.019323
0.034000,874.096009,16.932306,1.819540,-0.002082,0.019371
0.035000,874.089229,16.853086,1.819070,-0.002081,0.019281
0.036000,873.994009,16.833196,1.841430,-0.002107,0.019260
0.037000,873.805139,16.832196,1.797200,-0.002057,0.019263
0.038000,873.712269,16.851786,1.818960,-0.002082,0.019288
0.039000,873.712269,16.851786,1.818960,-0.002082,0.019288
0.040000,873.805139,16.832196,1.797200,-0.002057,0.019263
0.041000,873.900359,16.852086,1.774840,-0.002031,0.019284
0.042000,873.805139,16.832196,1.797200,-0.002057,0.019263
0.043000,873.520399,16.811526,1.818670,-0.002082,0.019246
0.044000,873.520399,16.811526,1.818670,-0.002082,0.019246
0.045000,873.520399,16.811526,1.818670,-0.002082,0.019246
0.046000,873.610269,16.752676,1.840850,-0.002107,0.019176
0.047000,873.610269,16.752676,1.840850,-0.002107,0.019176
0.048000,873.610269,16.752676,1.840850,-0.002107,0.019176
0.049000,873.798359,16.752976,1.796730,-0.002056,0.019173
0.050000,873.610919,16.752456,1.797510,-0.002058,0.019176
0.051000,873.609489,16.751976,1.752500,-0.002006,0.019176
0.052000,873.416969,16.711936,1.795550,-0.002056,0.019134
0.053000,873.416969,16.711936,1.795550,-0.002056,0.019134
0.054000,873.509839,16.692346,1.773790,-0.002031,0.019110
0.055000,873.513619,16.732306,1.818200,-0.002081,0.019155
0.056000,873.605839,16.712936,1.839780,-0.002106,0.019131
0.057000,873.705489,16.772566,1.818490,-0.002081,0.019197
0.058000,873.606489,16.712716,1.796440,-0.002056,0.019131
0.059000,873.606489,16.712716,1.796440,-0.002056,0.019131
0.060000,873.602059,16.672976,1.795370,-0.002055,0.019085
0.061000,873.414619,16.672456,1.796150,-0.002056,0.019089
0.062000,873.321749,16.692046,1.817910,-0.002082,0.019113
0.063000,873.509839,16.692346,1.773790,-0.002031,0.019110
0.064000,873.694929,16.653386,1.773610,-0.002030,0.019061
0.065000,873.883799,16.654386,1.817840,-0.002080,0.019058
0.066000,873.791579,16.673756,1.796260,-0.002056,0.019082
0.067000,873.692849,16.653126,1.771940,-0.002028,0.019061
0.068000,873.694279,16.653606,1.816950,-0.002080,0.019061
0.069000,873.602059,16.672976,1.795370,-0.002055,0.019085
