Time,Fz,Mx,My,CoPx,CoPy
0.000000,518.039880,31.091105,4.858535,-0.009379,0.060017
0.001000,518.136530,31.111475,4.881185,-0.009421,0.060045
0.002000,517.947010,31.110695,4.880295,-0.009422,0.060065
0.003000,518.044310,31.130845,4.859605,-0.009381,0.060093
0.004000,517.854790,31.130065,4.858715,-0.009382,0.060114
0.005000,518.136530,31.111475,4.881185,-0.009421,0.060045
0.006000,518.231750,31.131365,4.858825,-0.009376,0.060072
0.007000,518.228750,31.092105,4.902765,-0.009461,0.059997
0.008000,518.233180,31.131845,4.903835,-0.009463,0.060073
0.009000,518.231750,31.131365,4.858825,-0.009376,0.060072
0.010000,518.136530,31.111475,4.881185,-0.009421,0.060045
0.011000,518.039880,31.091105,4.858535,-0.009379,0.060017
0.012000,517.852440,31.090585,4.859315,-0.009384,0.060038
0.013000,517.944660,31.071215,4.880895,-0.009424,0.059989
0.014000,518.041310,31.091585,4.903545,-0.009466,0.060018
0.015000,518.133530,31.072215,4.925125,-0.009506,0.059970
0.016000,517.944660,31.071215,4.880895,-0.009424,0.059989
0.017000,518.041310,31.091585,4.903545,-0.009466,0.060018
0.018000,518.133530,31.072215,4.925125,-0.009506,0.059970
0.019000,518.134960,31.072695,4.970135,-0.009592,0.059970
0.020000,518.227830,31.053105,4.948375,-0.009549,0.059922
0.021000,518.042740,31.092065,4.948555,-0.009552,0.060018
0.022000,518.039740,31.052805,4.992495,-0.009637,0.059943
0.023000,517.943090,31.032435,4.969845,-0.009595,0.059915
0.024000,517.943090,31.032435,4.969845,-0.009595,0.059915
0.025000,517.943090,31.032435,4.969845,-0.009595,0.059915
0.026000,517.847870,31.012545,4.992205,-0.009640,0.059887
0.027000,517.847870,31.012545,4.992205,-0.009640,0.059887
0.028000,517.752650,30.992655,5.014565,-0.009685,0.059860
0.029000,517.752650,30.992655,5.014565,-0.009685,0.059860
0.030000,517.752650,30.992655,5.014565,-0.009685,0.059860
0.031000,517.752650,30.992655,5.014565,-0.009685,0.059860
0.032000,517.847870,31.012545,4.992205,-0.009640,0.059887
0.033000,517.564560,30.992355,5.058685,-0.009774,0.059881
0.034000,517.564560,30.992355,5.058685,-0.009774,0.059881
0.035000,517.661210,31.012725,5.081335,-0.009816,0.059909
0.036000,517.471690,31.011945,5.080445,-0.009818,0.059930
0.037000,517.469340,30.972465,5.081045,-0.009819,0.059854
0.038000,517.469340,30.972465,5.081045,-0.009819,0.059854
0.039000,517.469340,30.972465,5.081045,-0.009819,0.059854
0.040000,517.469340,30.972465,5.081045,-0.009819,0.059854
0.041000,517.469340,30.972465,5.081045,-0.009819,0.059854
0.042000,517.469340,30.972465,5.081045,-0.009819,0.059854
0.043000,517.656780,30.972985,5.080265,-0.009814,0.059833
0.044000,517.469340,30.972465,5.081045,-0.009819,0.059854
0.045000,517.184600,30.951795,5.102515,-0.009866,0.059847
0.046000,517.281250,30.972165,5.125165,-0.009908,0.059875
0.047000,517.278250,30.932905,5.169105,-0.009993,0.059799
0.048000,517.186030,30.952275,5.147525,-0.009953,0.059847
0.049000,517.281250,30.972165,5.125165,-0.009908,0.059875
0.050000,517.373470,30.952795,5.146745,-0.009948,0.059827
0.051000,517.470770,30.972945,5.126055,-0.009906,0.059854
0.052000,517.186030,30.952275,5.147525,-0.009953,0.059847
0.053000,516.997940,30.951975,5.191645,-0.010042,0.059869
0.054000,516.997940,30.951975,5.191645,-0.010042,0.059869
0.055000,516.903640,30.971085,5.168395,-0.009999,0.059917
0.056000,516.808420,30.951195,5.190755,-0.010044,0.059889
0.057000,517.093160,30.971865,5.169285,-0.009997,0.059896
0.058000,516.996510,30.951495,5.146635,-0.009955,0.059868
0.059000,516.901290,30.931605,5.168995,-0.010000,0.059840
0.060000,516.997940,30.951975,5.191645,-0.010042,0.059869
0.061000,516.997940,30.951975,5.191645,-0.010042,0.059869
0.062000,516.905070,30.971565,5.213405,-0.010086,0.059917
0.063000,516.902720,30.932085,5.214005,-0.010087,0.059841
0.064000,516.902720,30.932085,5.214005,-0.010087,0.059841
