Time,Fz,Mx,My,CoPx,CoPy
0.000000,516.889990,37.173635,1.525345,-0.002951,0.071918
0.001000,516.793340,37.153265,1.502695,-0.002908,0.071892
0.002000,516.889990,37.173635,1.525345,-0.002951,0.071918
0.003000,516.885560,37.133895,1.524275,-0.002949,0.071842
0.004000,516.886210,37.133675,1.480935,-0.002865,0.071841
0.005000,516.793340,37.153265,1.502695,-0.002908,0.071892
0.006000,516.698120,37.133375,1.525055,-0.002952,0.071867
0.007000,516.508600,37.132595,1.524165,-0.002951,0.071892
0.008000,516.788910,37.113525,1.501625,-0.002906,0.071816
0.009000,516.600820,37.113225,1.545745,-0.002992,0.071841
0.010000,516.693690,37.093635,1.523985,-0.002949,0.071790
0.011000,516.693690,37.093635,1.523985,-0.002949,0.071790
0.012000,516.693690,37.093635,1.523985,-0.002949,0.071790
0.013000,516.693690,37.093635,1.523985,-0.002949,0.071790
0.014000,516.597040,37.073265,1.501335,-0.002906,0.071764
0.015000,516.501820,37.053375,1.523695,-0.002950,0.071739
0.016000,516.499470,37.013895,1.524295,-0.002951,0.071663
0.017000,516.686910,37.014415,1.523515,-0.002949,0.071638
0.018000,516.594690,37.033785,1.501935,-0.002907,0.071688
0.019000,516.686910,37.014415,1.523515,-0.002949,0.071638
0.020000,516.782130,37.034305,1.501155,-0.002905,0.071663
0.021000,516.501820,37.053375,1.523695,-0.002950,0.071739
0.022000,516.594690,37.033785,1.501935,-0.002907,0.071688
0.023000,516.499470,37.013895,1.524295,-0.002951,0.071663
0.024000,516.495040,36.974155,1.523225,-0.002949,0.071587
0.025000,516.495040,36.974155,1.523225,-0.002949,0.071587
0.026000,516.686910,37.014415,1.523515,-0.002949,0.071638
0.027000,516.590260,36.994045,1.500865,-0.002905,0.071612
0.028000,516.590260,36.994045,1.500865,-0.002905,0.071612
0.029000,516.591690,36.994525,1.545875,-0.002992,0.071613
0.030000,516.686910,37.014415,1.523515,-0.002949,0.071638
0.031000,516.495040,36.974155,1.523225,-0.002949,0.071587
0.032000,516.495040,36.974155,1.523225,-0.002949,0.071587
0.033000,516.495040,36.974155,1.523225,-0.002949,0.071587
0.034000,516.492690,36.934675,1.523825,-0.002950,0.071511
0.035000,516.587260,36.954785,1.544805,-0.002990,0.071536
0.036000,516.775350,36.955085,1.500685,-0.002904,0.071511
0.037000,516.775350,36.955085,1.500685,-0.002904,0.071511
0.038000,516.680130,36.935195,1.523045,-0.002948,0.071486
