Time,Fz,Mx,My,CoPx,CoPy
0.000000,701.438788,38.887587,-4.049892,0.005774,0.055440
0.001000,701.535438,38.907957,-4.027242,0.005741,0.055461
0.002000,701.438788,38.887587,-4.049892,0.005774,0.055440
0.003000,701.626228,38.888107,-4.050672,0.005773,0.055426
0.004000,701.534008,38.907477,-4.072252,0.005805,0.055461
0.005000,701.435008,38.847627,-4.094302,0.005837,0.055383
0.006000,701.530228,38.867517,-4.116662,0.005868,0.055404
0.007000,701.530228,38.867517,-4.116662,0.005868,0.055404
0.008000,701.618668,38.808187,-4.139492,0.005900,0.055312
0.009000,701.715318,38.828557,-4.116842,0.005867,0.055334
0.010000,701.715968,38.828337,-4.160182,0.005929,0.055333
0.011000,701.619318,38.807967,-4.182832,0.005962,0.055312
0.012000,701.619318,38.807967,-4.182832,0.005962,0.055312
0.013000,701.808838,38.808747,-4.181942,0.005959,0.055298
0.014000,701.804408,38.769007,-4.183012,0.005960,0.055242
0.015000,701.897278,38.749417,-4.204772,0.005991,0.055207
0.016000,701.708408,38.748417,-4.249002,0.006055,0.055220
0.017000,701.993147,38.769087,-4.270472,0.006083,0.055227
0.018000,701.897927,38.749197,-4.248112,0.006052,0.055206
0.019000,701.708408,38.748417,-4.249002,0.006055,0.055220
0.020000,701.800628,38.729047,-4.227422,0.006024,0.055185
0.021000,701.611758,38.728047,-4.271652,0.006088,0.055199
0.022000,701.609408,38.688567,-4.271052,0.006088,0.055143
0.023000,701.794498,38.649607,-4.271232,0.006086,0.055073
0.024000,701.889718,38.669497,-4.293592,0.006117,0.055093
0.025000,701.887368,38.630017,-4.292992,0.006116,0.055037
0.026000,701.794498,38.649607,-4.271232,0.006086,0.055073
0.027000,701.794498,38.649607,-4.271232,0.006086,0.055073
0.028000,701.605628,38.648607,-4.315462,0.006151,0.055086
0.029000,701.795147,38.649387,-4.314572,0.006148,0.055072
0.030000,701.976457,38.570467,-4.359162,0.006210,0.054946
0.031000,701.976457,38.570467,-4.359162,0.006210,0.054946
0.032000,701.976457,38.570467,-4.359162,0.006210,0.054946
0.033000,701.787587,38.569467,-4.403392,0.006275,0.054959
0.034000,701.690938,38.549097,-4.426042,0.006308,0.054937
0.035000,701.787587,38.569467,-4.403392,0.006275,0.054959
0.036000,701.692368,38.549577,-4.381032,0.006244,0.054938
0.037000,701.879808,38.550097,-4.381812,0.006243,0.054924
0.038000,701.972677,38.530507,-4.403572,0.006273,0.054889
0.039000,702.065547,38.510917,-4.425332,0.006303,0.054854
0.040000,702.065547,38.510917,-4.425332,0.006303,0.054854
0.041000,701.783807,38.529507,-4.447802,0.006338,0.054902
0.042000,701.876677,38.509917,-4.469562,0.006368,0.054867
0.043000,701.969547,38.490327,-4.491322,0.006398,0.054832
0.044000,701.965117,38.450587,-4.492392,0.006400,0.054776
0.045000,701.872897,38.469957,-4.513972,0.006431,0.054810
0.046000,701.872897,38.469957,-4.513972,0.006431,0.054810
0.047000,701.681028,38.429697,-4.514262,0.006433,0.054768
0.048000,701.866117,38.390737,-4.514442,0.006432,0.054698
0.049000,701.958337,38.371367,-4.492862,0.006400,0.054663
0.050000,701.958987,38.371147,-4.536202,0.006462,0.054663
0.051000,701.958987,38.371147,-4.536202,0.006462,0.054663
0.052000,701.862337,38.350777,-4.558852,0.006495,0.054641
0.053000,701.866117,38.390737,-4.514442,0.006432,0.054698
0.054000,701.957557,38.370667,-4.581212,0.006526,0.054662
0.055000,701.957557,38.370667,-4.581212,0.006526,0.054662
0.056000,701.955207,38.331187,-4.580612,0.006526,0.054606
0.057000,701.955207,38.331187,-4.580612,0.006526,0.054606
0.058000,702.142647,38.331707,-4.581392,0.006525,0.054592
0.059000,701.955207,38.331187,-4.580612,0.006526,0.054606
0.060000,702.051857,38.351557,-4.557962,0.006492,0.054628
0.061000,702.047427,38.311817,-4.559032,0.006494,0.054572
0.062000,702.047427,38.311817,-4.559032,0.006494,0.054572
0.063000,702.140297,38.292227,-4.580792,0.006524,0.054536
0.064000,702.135867,38.252487,-4.581862,0.006526,0.054480
0.065000,702.232517,38.272857,-4.559212,0.006492,0.054502
0.066000,702.140297,38.292227,-4.580792,0.006524,0.054536
